tid,name,root,extensible,ordersignificant,templatecontentitem,includetemplate
3602,CardiovascularPatientCharacteristics,F,T,T,,
3603,ProcedureEnvironmentalCharacteristics,F,T,T,,
3700,ECGReport,T,T,T,,
3702,PriorECGStudy,F,T,T,,
3704,PatientCharacteristicsforECG,F,T,T,,
3708,ECGWaveformInformation,F,T,T,,
3713,ECGGlobalMeasurements,F,T,T,,
3714,ECGLeadMeasurements,F,T,T,,
3715,ECGMeasurementSource,F,T,T,,
3717,"QualitativeAnalysis,ECG",F,T,T,,
3719,"Summary,ECG",F,T,T,,
3800,CardiacCatheterizationReportRoot,T,T,T,,
3802,CardiovascularPatientHistory,F,T,T,,
3803,"PatientPresentation,Cath",F,T,T,,
3806,CathProcedure,F,T,T,,
3807,PercutaneousCoronaryInterventionProcedure,F,T,T,,
3808,LesionInterventionInformation,F,T,T,,
3809,OtherInterventionalProcedures,F,T,T,,
3810,CardiacCatheterizationFindings,F,T,T,,
3812,HemodynamicFindings,F,T,T,,
3814,LeftVentriculographyFindings,F,T,T,,
3815,RightVentriculographyFindings,F,T,T,,
3816,VentricularAssessment,F,T,T,,
3817,CoronaryArteriographyFindings,F,T,T,,
3818,OtherCardiographicFindings,F,T,T,,
3819,CommonFindings,F,T,T,,
3820,"AdverseOutcomes,Cath",F,T,T,,
3824,"Summary,Cath",F,T,F,,
3828,"DischargeSummary,Cath",F,T,T,,
3829,ProblemProperties,F,T,T,,
3830,ProcedureProperties,F,T,T,,
3831,MedicalDeviceUse,F,T,T,,
3900,CT/MRCardiovascularAnalysisReport,T,T,T,,
3901,ProcedureSummary,F,T,T,,
3902,VascularAnalysis,F,T,T,,
3905,CalciumScoringResults,F,T,T,,
3906,VascularSectionMeasurements,F,T,T,,
3907,VesselMeasurements,F,T,T,,
3908,VascularLesion,F,T,T,,
3909,BestIllustrationofFindings,F,T,T,,
3910,FlowQuantification,F,T,T,,
3911,PlaqueProperties,F,T,T,,
3912,StenosisProperties,F,T,T,,
3913,AneurysmProperties,F,T,T,,
3914,ArterialDissectionProperties,F,T,T,,
3915,VascularOcclusionProperties,F,T,T,,
3916,StentProperties,F,T,T,,
3917,AneurysmMeasurements,F,T,T,,
3920,VentricularAnalysisResult,F,T,T,,
3921,VentricularMeasurements,F,T,T,,
3922,AbsoluteValuesofVentricularMeasurements,F,T,T,,
3923,BSANormalizedVentricularMeasurements,F,T,T,,
3924,HeartRateNormalizedVentricularMeasurements,F,T,T,,
3925,ThickeningAnalysis,F,T,T,,
3926,MyocardialPerfusionAnalysis,F,T,T,,
3927,ReportSummary,F,T,F,,
3929,CardiovascularAnalysisObservationContext,F,T,T,,
3990,TwoDimensionalMeasurementGraph,F,T,T,,
4000,MammographyCADDocumentRoot,T,F,T,,
4001,MammographyCADOverallImpression/Recommendation,F,F,T,,
4002,MammographyCADImpression/RecommendationBody,F,F,T,,
4003,MammographyCADIndividualImpression/Recommendation,F,F,T,,
4004,MammographyCADCompositeFeature,F,F,T,,
4005,MammographyCADCompositeFeatureBody,F,F,T,,
4006,MammographyCADSingleImageFinding,F,F,T,,
4007,MammographyCADBreastComposition,F,F,T,,
4008,MammographyCADBreastGeometry,F,F,T,,
4009,MammographyCADIndividualCalcification,F,F,T,,
4010,MammographyCADCalcificationCluster,F,F,T,,
4011,MammographyCADDensity,F,F,T,,
4012,MammographyCADNonlesion,F,F,T,,
4013,MammographyCADSelectedRegion,F,F,T,,
4014,CADImageQuality,F,F,T,,
4015,CADDetectionsPerformed,F,F,T,,
4016,CADAnalysesPerformed,F,F,T,,
4017,CADDetectionPerformed,F,F,T,,
4018,CADAnalysisPerformed,F,F,T,,
4019,AlgorithmIdentification,F,F,T,,
4020,CADImageLibraryEntry,F,T,T,,
4021,MammographyCADGeometry,F,F,T,,
4022,CADObservationContext,F,F,T,,
4023,CADOperatingPoints,F,F,T,,
4100,ChestCADDocumentRoot,T,F,T,,
4101,ChestCADFindingsSummary,F,F,T,,
4102,ChestCADCompositeFeature,F,F,T,,
4103,ChestCADCompositeFeatureBody,F,F,T,,
4104,ChestCADSingleImageFinding,F,F,T,,
4105,ChestCADDescriptors,F,F,T,,
4106,ResponseEvaluation,F,F,T,,
4107,ChestCADGeometry,F,F,T,,
4108,TrackingIdentifier,F,F,T,,
4120,ColonCADDocumentRoot,T,F,T,,
4121,ColonCADFindingsSummary,F,F,T,,
4122,CADCommonImagePropertiesEntry,F,T,T,,
4125,ColonCADCompositeFeature,F,F,T,,
4126,ColonCADCompositeFeatureBody,F,F,T,,
4127,ColonCADSingleImageFinding,F,F,T,,
4128,ColonCADDescriptors,F,F,T,,
4129,ColonCADGeometry,F,F,T,,
4200,BreastImagingReport,T,F,T,,
4201,BreastImagingProcedureReported,F,F,T,,
4202,BreastImagingReportNarrative,F,F,T,,
4203,BreastImagingAssessment,F,F,T,,
4204,BreastImagingReportInterventionSection,F,T,T,,
4205,BreastCompositionSection,F,F,T,,
4206,BreastImagingReportFindingSection,F,T,T,,
4207,BreastImagingPathologyResults,F,T,T,,
4208,BreastImagingReportSupplementaryData,F,F,T,,
4209,BreastPatientCharacteristics,F,T,F,,
4300,ProstateMultiparametricMRImagingReport,T,T,T,,
4301,GenitourinaryPatientHistory,F,T,T,,
4302,ProstateImagingFindings,F,T,T,,
4303,OverallProstateFinding,F,T,T,,
4304,LocalizedProstateFinding,F,T,T,,
4305,ExtraprostaticFinding,F,T,T,,
4306,PIRADS®LocalizedAbnormalityAssessment,F,T,T,,
5000,OBGYNUltrasoundProcedureReport,T,T,T,,
5001,OBGYNPatientCharacteristics,F,T,T,,
5002,OBGYNProcedureSummarySection,F,T,T,,
5003,OBGYNProcedureFetusSummary,F,T,T,,
5004,FetalBiometryRatioSection,F,T,T,,
5005,FetalBiometrySection,F,T,T,,
5006,FetalLongBonesSection,F,T,T,,
5007,FetalCraniumSection,F,T,T,,
5008,FetalBiometryGroup,F,T,T,,
5009,FetalBiophysicalProfileSection,F,T,T,,
5010,AmnioticSacSection,F,T,T,,
5011,EarlyGestationSection,F,T,T,,
5012,OvariesSection,F,T,T,,
5013,FolliclesSection,F,T,T,,
5014,FollicleMeasurementGroup,F,T,T,,
5015,PelvisandUterusSection,F,T,T,,
5016,LWHVolumeGroup,F,T,T,,
5025,OBGYNFetalVascularUltrasoundMeasurementGroup,F,T,T,,
5026,OBGYNPelvicVascularUltrasoundMeasurementGroup,F,T,T,,
5100,VascularUltrasoundReport,F,T,T,,
5101,VascularPatientCharacteristics,F,T,T,,
5102,VascularProcedureSummarySection,F,T,T,,
5103,VascularUltrasoundSection,F,T,T,,
5104,VascularUltrasoundMeasurementGroup,F,T,T,,
5105,UltrasoundGraftSection,F,T,T,,
5200,EchocardiographyProcedureReport,T,T,T,,
5201,EchocardiographyPatientCharacteristics,F,T,T,,
5202,EchoSection,F,T,T,,
5203,EchoMeasurement,F,T,T,,
5204,WallMotionAnalysis,F,T,T,,
5220,"Pediatric,FetalandCongenitalCardiacUltrasoundReports",T,T,T,,
5221,CardiacUltrasoundPediatricEchoMeasurementSection,F,T,T,,
5222,"Pediatric,FetalandCongenitalCardiacUltrasoundSection",F,T,T,,
5223,"Pediatric,FetalandCongenitalCardiacUltrasoundMeasurement",F,T,T,,
5225,CardiacUltrasoundFetalCharacteristics,F,T,T,,
5226,CardiacUltrasoundSummarySection,F,T,T,,
5227,CardiacUltrasoundFetalSummarySection,F,T,T,,
5228,CardiacUltrasoundFetalMeasurementSection,F,T,T,,
5240,MyocardialStrainAnalysis,F,T,T,,
5300,SimplifiedEchoProcedureReport,T,F,T,,
5301,PrecoordinatedEchoMeasurement,F,F,T,,
